date,value
2023-01-03,40
2023-01-04,37
2023-01-05,37
2023-01-06,42
2023-01-09,46
2023-01-10,47
2023-01-11,49
2023-01-12,52
2023-01-13,51
2023-01-17,49
2023-01-18,47
2023-01-19,46
2023-01-20,51
2023-01-23,52
2023-01-24,55
2023-01-25,55
2023-01-26,59
2023-01-27,60
2023-01-30,60
2023-01-31,60
2023-02-01,68
2023-02-02,72
2023-02-03,68
2023-02-06,63
2023-02-07,63
2023-02-08,66
2023-02-09,64
2023-02-10,63
2023-02-13,66
2023-02-14,66
2023-02-15,63
2023-02-16,60
2023-02-17,56
2023-02-21,49
2023-02-22,44
2023-02-23,44
2023-02-24,42
2023-02-27,44
2023-02-28,44
2023-03-01,46
2023-03-02,52
2023-03-03,55
2023-03-06,55
2023-03-07,48
2023-03-08,49
2023-03-09,37
2023-03-10,26
2023-03-13,23
2023-03-14,25
2023-03-15,22
2023-03-16,32
2023-03-17,27
2023-03-20,30
2023-03-21,43
2023-03-22,41
2023-03-23,38
2023-03-24,37
2023-03-27,40
2023-03-28,39
2023-03-29,41
2023-03-30,45
2023-03-31,49
2023-04-03,61
2023-04-04,50
2023-04-05,52
2023-04-06,55
2023-04-10,57
2023-04-11,58
2023-04-12,60
2023-04-13,63
2023-04-14,65
2023-04-17,67
2023-04-18,65
2023-04-19,67
2023-04-20,64
2023-04-21,63
2023-04-24,63
2023-04-25,57
2023-04-26,52
2023-04-27,58
2023-04-28,59
2023-05-01,59
2023-05-02,55
2023-05-03,54
2023-05-04,49
2023-05-05,53
2023-05-08,57
2023-05-09,59
2023-05-10,59
2023-05-11,59
2023-05-12,57
2023-05-15,57
2023-05-16,55
2023-05-17,60
2023-05-18,64
2023-05-19,65
2023-05-22,67
2023-05-23,65
2023-05-24,61
2023-05-25,62
2023-05-26,65
2023-05-30,66
2023-05-31,64
2023-06-01,68
2023-06-02,75
2023-06-05,69
2023-06-06,73
2023-06-07,74
2023-06-08,75
2023-06-09,76
2023-06-12,78
2023-06-13,79
2023-06-14,79
2023-06-15,80
2023-06-16,81
2023-06-20,80
2023-06-21,80
2023-06-22,80
2023-06-23,75
2023-06-26,73
2023-06-27,75
2023-06-28,76
2023-06-29,79
2023-06-30,79
2023-07-03,82
2023-07-05,79
2023-07-06,77
2023-07-07,77
2023-07-10,76
2023-07-11,78
2023-07-12,78
2023-07-13,79
2023-07-14,79
2023-07-17,80
2023-07-18,81
2023-07-19,82
2023-07-20,80
2023-07-21,81
2023-07-24,82
2023-07-25,81
2023-07-26,80
2023-07-27,77
2023-07-28,76
2023-07-31,77
2023-08-01,77
2023-08-02,77
2023-08-03,73
2023-08-04,64
2023-08-07,72
2023-08-08,69
2023-08-09,67
2023-08-10,66
2023-08-11,65
2023-08-14,66
2023-08-15,54
2023-08-16,49
2023-08-17,46
2023-08-18,43
2023-08-21,43
2023-08-22,43
2023-08-23,50
2023-08-24,40
2023-08-25,47
2023-08-28,45
2023-08-29,49
2023-08-30,50
2023-08-31,52
2023-09-01,55
2023-09-05,59
2023-09-06,56
2023-09-07,53
2023-09-08,51
2023-09-11,52
2023-09-12,51
2023-09-13,51
2023-09-14,54
2023-09-15,52
2023-09-18,49
2023-09-19,49
2023-09-20,48
2023-09-21,37
2023-09-22,33
2023-09-25,38
2023-09-26,24
2023-09-27,22
2023-09-28,29
2023-09-29,28
2023-10-02,28
2023-10-03,20
2023-10-04,20
2023-10-05,20
2023-10-06,27
2023-10-09,29
2023-10-10,32
2023-10-11,34
2023-10-12,35
2023-10-13,26
2023-10-16,35
2023-10-17,39
2023-10-18,30
2023-10-19,29
2023-10-20,22
2023-10-23,25
2023-10-24,33
2023-10-25,25
2023-10-26,22
2023-10-27,21
2023-10-30,29
2023-10-31,30
2023-11-01,32
2023-11-02,37
2023-11-03,36
2023-11-06,38
2023-11-07,39
2023-11-08,39
2023-11-09,41
2023-11-10,41
2023-11-13,39
2023-11-14,46
2023-11-15,52
2023-11-16,55
2023-11-17,58
2023-11-20,61
2023-11-21,61
2023-11-22,65
2023-11-24,66
2023-11-27,65
2023-11-28,65
2023-11-29,63
2023-11-30,64
2023-12-01,64
2023-12-04,63
2023-12-05,65
2023-12-06,63
2023-12-07,66
2023-12-08,65
2023-12-11,67
2023-12-12,67
2023-12-13,67
2023-12-14,70
2023-12-15,80
2023-12-18,77
2023-12-19,77
2023-12-20,71
2023-12-21,76
2023-12-22,78
2023-12-26,80
2023-12-27,76
2023-12-28,78
2023-12-29,76
