date,close
2022-12-30,266.28
2023-01-31,291.30
2023-02-28,291.20
2023-03-31,313.54
2023-04-28,322.37
2023-05-31,341.58
2023-06-30,367.42
2023-07-31,380.42
2023-08-31,374.56
2023-09-29,359.01
2023-10-31,358.56
2023-11-30,389.94
2023-12-29,405.76
2024-01-31,421.83
2024-02-29,437.42
2024-03-28,441.50
2024-04-30,422.00
2024-05-31,455.79
2024-06-28,480.72
2024-07-31,472.37
2024-08-05,430.00
2024-08-30,476.57
2024-09-30,487.12
2024-10-31,491.82
2024-11-29,511.43
2024-12-31,509.45
2025-01-31,521.11
2025-02-28,496.30
2025-03-31,468.25
2025-04-08,402.39
2025-04-30,480.50
2025-05-30,510.82
2025-06-30,532.10
2025-07-31,545.00
2025-08-29,558.70
2025-09-30,575.20
2025-10-29,634.95
2025-11-28,618.50
2025-12-31,600.20
